Name,Type,Address,Town,State,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AdultChange,ChangingPlaces,BabyChange,BabyCareRoom,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
Federal Reserve,Park or reserve,4 Barton Street,Mount Waverley,VIC,,-37.8611167,145.1236405,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Fregon Reserve,Park or reserve,11 Browns Road,Clayton,VIC,,-37.91847576,145.1269091,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Lum Reserve,Park or reserve,42 Earlwood Drive,Wheelers Hill,VIC,,-37.91113091,145.1757919,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 5:30am-8:30pm,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Wellington Reserve,Park or reserve,18 Suva Street,Mulgrave,VIC,,-37.92799319,145.1619477,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Gladswood Reserve,Park or reserve,6 Adela Court,Mulgrave,VIC,,-37.93165418,145.2000862,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Tally Ho Reserve,Park or reserve,42 Bennett Avenue,Mount Waverley,VIC,,-37.86164864,145.1458666,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Batesford Reserve,Park or reserve,94 Batesford Road,Chadstone,VIC,,-37.87628888,145.0994298,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Mount Waverley Reserve,Park or reserve,6 Charles Street,Mount Waverley,VIC,,-37.87169646,145.1351543,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Southern Reserve,Park or reserve,27 Rupert Drive,Mulgrave,VIC,,-37.93356861,145.1769784,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Mulgrave Reserve,Park or reserve,136 Garnett Road,Wheelers Hill,VIC,,-37.92067216,145.2006577,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: 5:30am-8:30pm,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
