Address,Town,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AccessNote,AdultChange,ChangingPlaces,AdultChangeNote,BabyChange,BabyCareRoom,BabyChangeNote,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
214 Miller Street,Preston,,-37.74959292,144.9824862,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
24 Argyle Street,Reservoir,Facilities located behind playground on Argyle Street.,-37.70304996,145.0273917,TRUE,FALSE,,15 cm step up to toilet block. ,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Two cubicles in female toilets. Urinal and two cubicles in male. Syringe disposal only available in male facilities.,FALSE
1 Lucille Avenue,Reservoir,Located opposite the corner of Dole and Lucille Avenue.,-37.70081569,145.0207012,TRUE,TRUE,Two accessible parking bays within 6m of entry. All paved. ,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Cheddar Road,Reservoir,Located opposite the corner of Harmer and Pickett Streets. ,-37.70152201,145.0170033,TRUE,FALSE,,"Disabled park on Harmer St, path to toilet, no disabled toilets. ",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
180E Melville Road,Brunswick West,,-37.7568633,144.9454271,TRUE,FALSE,,Parking on Melville Road in front of Jacobs Reserve,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
1 Neale Street,Preston,Located behind the Officeworks store. ,-37.748246,145.0191041,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
3272 Epping-Kilmore Road,Wandong,Kilmore/Epping Road,-37.35899921,145.0258754,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,TRUE,TRUE,TRUE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
8151A Goulburn Valley Highway,Trawool,Just North of the Trawool Estate 8150 Goulburn Valley Highway Trawool,-37.11817565,145.2145504,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
16 Easey Road,Beveridge,,-37.46977591,144.9520982,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
378 Lithgow Street,Beveridge,Next to the Beveridge Community Centre,-37.47465165,144.98011,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
180 Saint Kilda Road,Melbourne,Located on the ground floor of NGV.,-37.8225942,144.9689278,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 10am-5pm,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE
3883 Melba Highway,Glenburn,,-37.4188133,145.427072,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 6am-10pm,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Maroondah Highway,Ringwood,"Facilities are located on the upper concourse, on platform 3, and by the bus bays. ",-37.81540764,145.2298197,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,Toilets are open during station operating hours. Staff are on site from first to last train. ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
1 Mullin Street,Ravenswood,,-36.8989228,144.2187742,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE
James Hardie Drive,Werribee South,,-37.92678011,144.6739991,TRUE,TRUE,,"You can park right at the start of the ramp to the toilet. Ramp wide with no obstacles, door light to open. ",FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Beautiful smelling in rose blossom time. ,FALSE
Flinders Street,Melbourne,,-37.8175974,144.9686881,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 10am-5pm,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE
100 Saint Kilda Road,Southbank,,-37.82172474,144.9681481,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Sat 8:30am-7pm, Mon-Fri 7am-7pm, Sun 9am-5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
