Address,Town,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AccessNote,AdultChange,ChangingPlaces,AdultChangeNote,BabyChange,BabyCareRoom,BabyChangeNote,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
Lloyd Street,Dimboola,,-36.45456726,142.0264675,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lloyd Street,Dimboola,,-36.45412096,142.0263738,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
Charles Street,Jeparit,,-36.14249388,141.9882419,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Roy Street,Jeparit,,-36.1430491,141.9873694,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Western Highway,Nhill,,-36.33426504,141.6489602,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Drinking water available in the park nearby.,FALSE
Western Highway,Nhill,,-36.33739237,141.6464373,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
2 Federal Street,Rainbow,,-35.89780532,141.9945138,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lamont Street,Stawell,,-37.05133265,142.7758598,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Scallan Street,Stawell,,-37.05464467,142.7812683,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,TRUE,TRUE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Baylis Street,Stawell,,-37.05652858,142.7810249,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,TRUE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Florence Street,Stawell,,-37.05908112,142.7778681,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Sloane Street,Stawell,,-37.05553896,142.7833097,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Tue-Fri 10am-5:30pm, Sat 10am-12pm, Sun 2pm-5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Victoria Street,Stawell,,-37.05853807,142.7756712,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
109 Grampians Road,Halls Gap,,-37.13991229,142.5178644,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Western Highway,Great Western,,-37.15341414,142.8559783,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Sharps disposal in ladies only. Two female only toilets (one ambulant) and three unisex toilets (one ambulant and one accessible).,FALSE
Brown Street,Caramut,,-37.9577,142.51896,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
2621 Penshurst-Warrnambool Road,Hawkesdale,,-38.10469281,142.3216504,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,At Swimming Pool,TRUE
Market Street,Macarthur,,-38.03330337,142.0009103,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Hamilton Highway,Mortlake,,-38.08084541,142.8082657,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,BBQ & playground in reserve,FALSE
4 Park Street,Mortlake,,-38.08245107,142.8087302,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,BBQ facilities available.,FALSE
Henrys Sawmill Road,Nullawarre,,-38.46761397,142.7457699,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,BBQ facilities available.,FALSE
Peterborough Foreshore Playground,Peterborough,,-38.60781045,142.8794558,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Wetsuit/bathers showers located at the rear of the toilet block. Showers also located inside toilet block,TRUE
Ocean Drive,Port Fairy,,-38.391283,142.230628,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
31 Gipps Street,Port Fairy,,-38.3876489,142.2408023,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Located in 'Bait Shed' near restaurant.,FALSE
Beach Street,Port Fairy,,-38.37899673,142.2443015,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Sackville Street,Port Fairy,,-38.38308914,142.2371538,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
1 Rogers Place,Port Fairy,,-38.3860586,142.2426267,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE
Gipps Street,Port Fairy,,-38.390564,142.242916,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Playground and BBQ facilities nearby,FALSE
2248 Mortlake-Ararat Road,Woorndoo,,-37.88552477,142.7974269,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
Hopkins Falls Road,Wangoom,,-38.33245299,142.6179075,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Princes Highway,Yambuk,,-38.3145612,142.0640778,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Olga Avenue,Horsham,,-36.71056568,142.2130931,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Gertrude Street,Horsham,,-36.70280682,142.2030216,FALSE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
Baillie Street,Horsham,,-36.71163573,142.1965016,TRUE,FALSE,,MLAK key required for Changing Places,TRUE,TRUE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Bennett Road,Horsham,,-36.71764439,142.1876165,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
130 Barnes Boulevard,Horsham,,-36.72952047,142.1761724,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Disabled accessible toilet added in 2011,FALSE
1 Barnes Boulevard,Horsham,,-36.72465599,142.1952626,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Hocking Street,Horsham,,-36.72277882,142.200471,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Baker Street,Horsham,,-36.72081239,142.2004346,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Roberts Avenue,Horsham,,-36.71414836,142.1999975,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Pynsent Street,Horsham,,-36.71582349,142.1983224,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Mon-Fri 10am-5pm, Sat 11am-4pm, Sun 1pm-4pm",,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
50A-50B Darlot Street,Horsham,,-36.71632701,142.1968601,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Baker Street,Horsham,,-36.72219622,142.1963926,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Western Highway,Bungalally,,-36.78727205,142.2988824,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
4378 Henty Highway,Haven,,-36.75686009,142.1945484,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"New facilities replaced old ones, and opened in 2013.",FALSE
Wimmera Highway,Natimuk,,-36.7421966,141.9388681,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Jung North Road,Jung,,-36.60715237,142.3605381,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Disabled compliant toilet open 24 hours a day.  The separate male and female toilets are only open when the Hall is in use.,FALSE
Ford Street,Beechworth,,-36.35866492,146.6876321,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
137 Murray Street,Rutherglen,,-36.05428407,146.4570585,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
McConville Avenue,Beechworth,,-36.36029193,146.6935829,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
 High Street,Beechworth,,-36.3563321,146.6922171,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Diffey Road,Beechworth,,-36.37004736,146.6764915,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
High Street,Yackandandah,,-36.312864,146.8385804,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Main Street,Chiltern,,-36.15168093,146.6096751,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Kiewa East Road,Tangambalanga,,-36.25154063,147.028926,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Isaacs Avenue,Yackandandah,,-36.31007725,146.8451385,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
56 High Street,Barnawartha,,-36.10437967,146.6749604,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE
Murray Street,Rutherglen,,-36.05530137,146.4601125,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Douglas Street,Rutherglen,,-36.05456747,146.4623273,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Murray Valley Highway,Huon,,-36.22058875,147.0681357,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Kiewa East Road,Kiewa,,-36.2555528,147.0159836,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Stanley Road,Stanley,,-36.40548483,146.7553102,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Behind Stanely Memorial Hall,FALSE
Gap Flat Road,Allans Flat,,-36.27456722,146.9083106,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
33 Foord Street,Wahgunyah,,-36.01073064,146.3934947,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
26 Ford Street,Beechworth,,-36.36140021,146.6849428,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Lal Lal Falls Road,Lal Lal,,-37.656552,144.0362075,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Old Western Highway,Gordon,,-37.5784933,144.0998231,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
24 Fisken Street,Ballan,,-37.60066949,144.225832,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Mill Park Street,Ballan,,-37.59727493,144.2296795,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Byers Road,Blackwood,,-37.47096132,144.3077361,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Gisborne Road,Bacchus Marsh,,-37.65581978,144.4496774,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Station Street,Bacchus Marsh,,-37.68638029,144.4367976,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Apr-Sep 8am-6pm, Oct-Mar 8am-9pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Werribee Vale Road,Bacchus Marsh,,-37.68146316,144.4294591,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Gell Street,Bacchus Marsh,,-37.67515203,144.4373499,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Apr-Sep 7am-7:30pm, Oct-Mar 7am-9pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Mossvale Park Road,Berrys Creek,,-38.40337327,146.0538499,FALSE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Farmers Road,Dumbalk,,-38.53333909,146.0939346,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Falls Road,Fish Creek,,-38.69351218,146.0822608,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Sanders Street,Korumburra,,-38.42810525,145.81713,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Queen Street,Korumburra,,-38.4331584,145.8199633,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Bent Street,Leongatha,,-38.47313969,145.950841,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Michael Place,Leongatha,,-38.47590257,145.9455667,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 7:30am-8pm,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Strzelecki Highway,Leongatha,,-38.46846691,145.9499309,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Victoria Road,Loch,,-38.36855725,145.705676,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
South Gippsland Highway,Meeniyan,,-38.57815851,146.0140934,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Ridgeway Street,Mirboo North,,-38.40029114,146.1553921,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Bena-Poowong Road,Poowong,,-38.36113695,145.7651305,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,Currently closed,Open 1 October through to 30 April,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Drouin-Poowong Road,Poowong,,-38.34182703,145.7644243,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lewis Street,Port Welshpool,,-38.70030006,146.4645507,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Beach Parade,Sandy Point,,-38.8303706,146.1245706,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Evergreen Road,Tarwin Lower,,-38.69486427,145.8641026,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE
Evergreen Road,Tarwin Lower,,-38.70099209,145.8691893,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Tarwin Meadows Road,Tarwin Lower,,-38.70299977,145.8681772,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Victoria Street,Toora,,-38.66642201,146.3232949,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Surf Drive,Venus Bay,,-38.7054,145.8116,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,Toilet is open when the park is open,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
NO5 Beach Road,Venus Bay,,-38.67736856,145.781057,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,Toilet is open when the park is open,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Fishermans Road,Venus Bay,,-38.6720964,145.7978197,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
167 Jupiter Boulevarde,Venus Bay,,-38.70249262,145.8219949,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Gale Street,Waratah Bay,,-38.81078465,146.0411686,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
South Gippsland Highway,Toora,,-38.65268387,146.2994409,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Millar Road,Yanakie,,-38.81189119,146.2050987,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Foley Road,Yanakie,,-38.8115364,146.2679444,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
River Street,Port Franklin,,-38.68311295,146.2820385,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Hume Street,Wodonga,,-36.12160363,146.8865515,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Church Street,Wodonga,,-36.11251988,146.8916668,FALSE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Lincoln Causeway,Gateway Island,,-36.09303653,146.903865,TRUE,TRUE,Located near the Wodonga Visitor Information Centre,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Emerald Avenue,Wodonga,,-36.12614287,146.8584977,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
